index,opening,eco,date,event,player_name,opponent_name,color,result,moves,rating,rating_difference,distance,distance_difference,effort,effort_difference
0,Sicilian Defense: Venice Attack,B56,2024.04.04,FIDE Candidates 2024,"Caruana, Fabiano","Nakamura, Hikaru",1,0,41,2803,14,85.5,-7.5,2.08,-0.18
0,Sicilian Defense: Venice Attack,B56,2024.04.04,FIDE Candidates 2024,"Nakamura, Hikaru","Caruana, Fabiano",0,0,41,2789,-14,93.0,7.5,2.27,0.18
1,Queen's Gambit Declined,D53,2024.04.04,FIDE Candidates 2024,"Abasov, Nijat","Nepomniachtchi, Ian",1,0,34,2632,-126,58.0,-6.0,1.71,-0.23
1,Queen's Gambit Declined,D53,2024.04.04,FIDE Candidates 2024,"Nepomniachtchi, Ian","Abasov, Nijat",0,0,34,2758,126,64.0,6.0,1.94,0.23
2,"Ruy Lopez: Open, Classical Defense",C83,2024.04.04,FIDE Candidates 2024,"Firouzja, Alireza",Praggnanandhaa R,1,0,39,2760,13,60.0,-13.0,1.54,-0.38
2,"Ruy Lopez: Open, Classical Defense",C83,2024.04.04,FIDE Candidates 2024,Praggnanandhaa R,"Firouzja, Alireza",0,0,39,2747,-13,73.0,13.0,1.92,0.38
3,Tarrasch Defense: Symmetrical Variation,D32,2024.04.04,FIDE Candidates 2024,Gukesh D,"Vidit, Santosh Gujrathi",1,0,21,2743,16,28.0,-7.0,1.33,-0.33
3,Tarrasch Defense: Symmetrical Variation,D32,2024.04.04,FIDE Candidates 2024,"Vidit, Santosh Gujrathi",Gukesh D,0,0,21,2727,-16,35.0,7.0,1.67,0.33
4,Queen's Gambit Declined,D30,2024.04.04,FIDE Candidates 2024,Praggnanandhaa R,Gukesh D,1,-1,33,2747,4,57.0,0.5,1.73,0.01
4,Queen's Gambit Declined,D30,2024.04.04,FIDE Candidates 2024,Gukesh D,Praggnanandhaa R,0,1,33,2743,-4,56.5,-0.5,1.71,-0.01
5,Ruy Lopez: Berlin Defense,C65,2024.04.04,FIDE Candidates 2024,"Nakamura, Hikaru","Vidit, Santosh Gujrathi",1,-1,29,2789,62,50.0,-2.0,1.72,-0.07
5,Ruy Lopez: Berlin Defense,C65,2024.04.04,FIDE Candidates 2024,"Vidit, Santosh Gujrathi","Nakamura, Hikaru",0,1,29,2727,-62,52.0,2.0,1.79,0.07
6,Ruy Lopez: Berlin Defense,C65,2024.04.04,FIDE Candidates 2024,"Nepomniachtchi, Ian","Firouzja, Alireza",1,1,45,2758,-2,77.0,-10.0,1.71,-0.27
6,Ruy Lopez: Berlin Defense,C65,2024.04.04,FIDE Candidates 2024,"Firouzja, Alireza","Nepomniachtchi, Ian",0,-1,45,2760,2,87.0,10.0,1.98,0.27
7,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack,B30,2024.04.04,FIDE Candidates 2024,"Caruana, Fabiano","Abasov, Nijat",1,1,37,2803,171,78.0,23.0,2.11,0.58
